x,y
1-1-2020,0.004
5-1-2020,0
6-1-2020,0
7-1-2020,0
8-1-2020,1
9-1-2020,0
11-1-2020,0
12-1-2020,0
15-1-2020,0
16-1-2020,0
17-1-2020,0
18-1-2020,0
19-1-2020,0
20-1-2020,0.283
21-1-2020,0.233
22-1-2020,-0.167
23-1-2020,0.17
24-1-2020,0.282
25-1-2020,0.221
26-1-2020,0.052
27-1-2020,0.242
28-1-2020,0.297
29-1-2020,0.273
30-1-2020,0.032
31-1-2020,0.054
1-2-2020,0.132
2-2-2020,-0.046
3-2-2020,0.036
4-2-2020,0.21
5-2-2020,0.325
6-2-2020,-0.122
7-2-2020,0.082
8-2-2020,0.019
9-2-2020,0.283
10-2-2020,0.019
11-2-2020,-0.1
12-2-2020,0.317
13-2-2020,0.204
14-2-2020,0
15-2-2020,0.014
16-2-2020,-0.092
17-2-2020,0.009
18-2-2020,-0.012
19-2-2020,0.03
20-2-2020,0
21-2-2020,0.055
22-2-2020,0.075
23-2-2020,-0.192
24-2-2020,0.176
25-2-2020,0.238
26-2-2020,0.312
27-2-2020,0.114
28-2-2020,0.01
29-2-2020,-0.022
1-3-2020,0.292
2-3-2020,0.121
3-3-2020,0.082
4-3-2020,0.015
5-3-2020,0.112
6-3-2020,0.129
7-3-2020,-0.028
8-3-2020,-0.017
9-3-2020,0.084
10-3-2020,0.086
11-3-2020,0.152
12-3-2020,0.145
13-3-2020,0.166
14-3-2020,0.167
15-3-2020,0.184
16-3-2020,0.15
17-3-2020,0.178
18-3-2020,0.141
19-3-2020,0.177
20-3-2020,0.13
21-3-2020,0.09
22-3-2020,0.096
23-3-2020,0.253
24-3-2020,0.196
25-3-2020,0.124
26-3-2020,0.174
27-3-2020,0.278
28-3-2020,0.124
31-3-2020,0.079
2-4-2020,0.071
3-4-2020,0.069
4-4-2020,0.076
5-4-2020,0.069
6-4-2020,0.075
7-4-2020,0.039
8-4-2020,0.031
9-4-2020,0.054
10-4-2020,0.02
11-4-2020,-0.006
12-4-2020,-0.008
13-4-2020,0.073
15-4-2020,0.105
16-4-2020,0.06
17-4-2020,0.057
18-4-2020,0.07
19-4-2020,0.158
20-4-2020,0.043
21-4-2020,0.052
22-4-2020,0.099
23-4-2020,0.136
24-4-2020,0.183
25-4-2020,0.064
26-4-2020,0.122
27-4-2020,0.16
28-4-2020,0.057
29-4-2020,0.145
30-4-2020,0.092
1-5-2020,0.008
2-5-2020,0.011
3-5-2020,0.015
4-5-2020,0.034
5-5-2020,0.022
6-5-2020,0.024
7-5-2020,0.02
8-5-2020,0.018
9-5-2020,0.12
10-5-2020,0.018
11-5-2020,0.02
12-5-2020,0.013
13-5-2020,0.109
14-5-2020,0.025
15-5-2020,0.052
16-5-2020,0.053
17-5-2020,0.002
18-5-2020,0.049
19-5-2020,0.052
20-5-2020,0.025
21-5-2020,0
22-5-2020,0.037
23-5-2020,0.041
24-5-2020,0.012
26-5-2020,0.006
27-5-2020,0.015
28-5-2020,0.009
29-5-2020,0.039
30-5-2020,0.018
31-5-2020,0.025
1-6-2020,0.013
2-6-2020,0.015
3-6-2020,0.058
4-6-2020,0.057
5-6-2020,0.002
6-6-2020,0.019
7-6-2020,0.01
8-6-2020,0.034
9-6-2020,0.048
10-6-2020,0.025
11-6-2020,-0.007
12-6-2020,0.023
13-6-2020,0.017
14-6-2020,0.024
15-6-2020,0.023
16-6-2020,0.061
17-6-2020,0.046
18-6-2020,0.012
20-6-2020,0.011
21-6-2020,0.016
22-6-2020,0.011
23-6-2020,0.022
24-6-2020,0.001
25-6-2020,0.002
26-6-2020,0.02
27-6-2020,0.01
30-6-2020,0.003
1-7-2020,0.015
2-7-2020,0.024
3-7-2020,0.029
4-7-2020,-0.007
8-7-2020,0.01
9-7-2020,0.019
13-7-2020,0.004
14-7-2020,0.009
15-7-2020,0.008
16-7-2020,0.006
17-7-2020,0.036
18-7-2020,0.018
19-7-2020,0.022
20-7-2020,0.022
21-7-2020,0.009
24-7-2020,0.004
25-7-2020,-0.003
26-7-2020,0.025
27-7-2020,0.028
28-7-2020,0.025
29-7-2020,0.017
4-8-2020,0.007
5-8-2020,0.004
6-8-2020,0.02
7-8-2020,0
8-8-2020,0.004
9-8-2020,-0.009
10-8-2020,0.007
11-8-2020,0.005
12-8-2020,0.011
13-8-2020,0.014
14-8-2020,0.011
15-8-2020,0.019
16-8-2020,-0.003
17-8-2020,0
18-8-2020,0.048
19-8-2020,0.012
20-8-2020,0.029
21-8-2020,-0.01
25-8-2020,-0.005
26-8-2020,0.049
27-8-2020,0.033
28-8-2020,0.012
29-8-2020,0.015
30-8-2020,0.032
31-8-2020,0.022
1-9-2020,0.007
2-9-2020,0.005
3-9-2020,0.011
4-9-2020,0.017
5-9-2020,0.003
6-9-2020,0.042
7-9-2020,0.017
8-9-2020,0.001
9-9-2020,0.01
10-9-2020,0.006
11-9-2020,-0.002
12-9-2020,0.009
13-9-2020,0.008
14-9-2020,0.016
15-9-2020,0.006
16-9-2020,0.02
17-9-2020,0.004
18-9-2020,0.014
19-9-2020,0.005
20-9-2020,0.012
21-9-2020,0.006
22-9-2020,-0.007
23-9-2020,0.013
24-9-2020,0.004
25-9-2020,0.018
26-9-2020,0.012
27-9-2020,0
28-9-2020,0.005
29-9-2020,0.012
30-9-2020,0.01
1-10-2020,0.026
2-10-2020,0.088
3-10-2020,0.035
4-10-2020,0.019
5-10-2020,0.023
6-10-2020,0.013
7-10-2020,0.01
8-10-2020,0.012
9-10-2020,0.019
10-10-2020,0.009
11-10-2020,0.008
12-10-2020,0.03
13-10-2020,0.018
14-10-2020,0.01
15-10-2020,0.022
16-10-2020,0
17-10-2020,0.022
18-10-2020,0.011
19-10-2020,0.014
20-10-2020,0.018
21-10-2020,0.016
22-10-2020,0.006
23-10-2020,0.008
24-10-2020,0.019
25-10-2020,0.002
26-10-2020,0.004
27-10-2020,0.031
28-10-2020,0.023
29-10-2020,0.044
30-10-2020,0.013
31-10-2020,0.036
1-11-2020,0.013
2-11-2020,0.01
3-11-2020,0.007
4-11-2020,0.002
5-11-2020,0.012
6-11-2020,0.006
7-11-2020,0.024
8-11-2020,0.009
9-11-2020,0.018
10-11-2020,0.008
11-11-2020,0.018
12-11-2020,0.008
13-11-2020,0.012
14-11-2020,0.016
15-11-2020,0
16-11-2020,0.072
17-11-2020,0.016
18-11-2020,0.002
19-11-2020,0.017
20-11-2020,0.008
21-11-2020,-0.001
22-11-2020,0
23-11-2020,0.004
24-11-2020,0.023
25-11-2020,0.014
26-11-2020,0
27-11-2020,0.002
28-11-2020,-0.001
29-11-2020,0.011
30-11-2020,0.003
1-12-2020,0
2-12-2020,0.008
3-12-2020,0.013
4-12-2020,0.006
5-12-2020,0.012
6-12-2020,-0.003
7-12-2020,0.008
8-12-2020,0.028
9-12-2020,0.019
10-12-2020,0.011
11-12-2020,0.005
12-12-2020,0.016
13-12-2020,0.024
14-12-2020,0.045
15-12-2020,0.015
16-12-2020,0.027
17-12-2020,0.005
18-12-2020,0.007
19-12-2020,0.013
20-12-2020,0.011
21-12-2020,0.018
22-12-2020,0.009
23-12-2020,0.024
24-12-2020,0.001
31-12-2020,0.002